OID,month_year,Count_month_year,Sum_number_b,year
27,3/10,23,31,2010
33,4/10,101,171,2010
39,5/10,87,113,2010
45,6/10,38,116,2010
51,7/10,17,36,2010
57,8/10,11,15,2010
6,10/10,23,78,2010
12,11/10,11,19,2010
18,12/10,1,2,2010
0,1/11,1,5,2011
28,3/11,32,40,2011
34,4/11,109,181,2011
40,5/11,105,156,2011
46,6/11,77,164,2011
52,7/11,33,42,2011
58,8/11,14,18,2011
63,9/11,3,4,2011
7,10/11,18,62,2011
13,11/11,5,6,2011
19,12/11,10,14,2011
1,1/12,4,8,2012
24,2/12,3,5,2012
29,3/12,204,346,2012
35,4/12,301,582,2012
41,5/12,300,626,2012
47,6/12,286,807,2012
53,7/12,158,510,2012
59,8/12,22,37,2012
64,9/12,20,39,2012
8,10/12,48,147,2012
14,11/12,7,9,2012
20,12/12,2,2,2012
2,1/13,8,32,2013
25,2/13,15,66,2013
30,3/13,65,120,2013
36,4/13,381,695,2013
42,5/13,456,867,2013
48,6/13,319,711,2013
54,7/13,118,242,2013
60,8/13,41,82,2013
65,9/13,17,26,2013
9,10/13,49,126,2013
15,11/13,7,20,2013
21,12/13,4,4,2013
3,1/14,1,2,2014
31,3/14,71,127,2014
37,4/14,418,714,2014
43,5/14,494,922,2014
49,6/14,302,668,2014
55,7/14,161,352,2014
61,8/14,60,160,2014
66,9/14,33,66,2014
10,10/14,67,156,2014
16,11/14,3,3,2014
22,12/14,1,1,2014
4,1/15,5,7,2015
32,3/15,60,75,2015
38,4/15,579,977,2015
44,5/15,583,1012,2015
50,6/15,300,527,2015
56,7/15,165,286,2015
62,8/15,60,134,2015
67,9/15,24,40,2015
11,10/15,72,104,2015
17,11/15,14,31,2015
23,12/15,2,2,2015
5,1/16,7,10,2016
26,2/16,1,1,2016
